Land1;Land2;Runde;Datum;Uhrzeit (MESZ);Einschaltquote (Deutschland)
Türkei ; Italien;Gruppenphase;11. Jun 21;21:00;10,57 Mio.
Wales ; Schweiz;Gruppenphase;12. Jun 21;15:00;5,67 Mio.
Dänemark ; Finnland;Gruppenphase;12. Jun 21;18:00;4,95 Mio.
Belgien ; Russland;Gruppenphase;12. Jun 21;21:00;6,81 Mio.
England ; Kroatien;Gruppenphase;13. Jun 21;15:00;6,99 Mio.
Österreich ; Nordmazedonien;Gruppenphase;13. Jun 21;18:00;5,23 Mio.
Niederlande ; Ukraine;Gruppenphase;13. Jun 21;21:00;7,32 Mio.
Schottland ; Tschechien;Gruppenphase;14. Jun 21;15:00;4,22 Mio.
Polen ; Slowakei;Gruppenphase;14. Jun 21;18:00;4,57 Mio.
Spanien ; Schweden;Gruppenphase;14. Jun 21;21:00;6,65 Mio.
Ungarn ; Portugal;Gruppenphase;15. Jun 21;18:00;6,61 Mio.
Frankreich ; Deutschland;Gruppenphase;15. Jun 21;21:00;22,55 Mio.
Finnland ; Russland;Gruppenphase;16. Jun 21;15:00;3,95 Mio.
Türkei ; Wales;Gruppenphase;16. Jun 21;18:00;4,97 Mio.
Italien ; Schweiz;Gruppenphase;16. Jun 21;21:00;8,37 Mio.
Ukraine ; Nordmazedonien;Gruppenphase;17. Jun 21;15:00;3,91 Mio.
Dänemark ; Belgien;Gruppenphase;17. Jun 21;18:00;5,55 Mio.
Niederlande ; Österreich;Gruppenphase;17. Jun 21;21:00;7,49 Mio.
Schweden ; Slowakei;Gruppenphase;18. Jun 21;15:00;3,86 Mio.
Kroatien ; Tschechien;Gruppenphase;18. Jun 21;18:00;4,69 Mio.
England ; Schottland;Gruppenphase;18. Jun 21;21:00;8,55 Mio.
Ungarn ; Frankreich;Gruppenphase;19. Jun 21;15:00;5,57 Mio.
Portugal ; Deutschland;Gruppenphase;19. Jun 21;18:00;20,19 Mio.
Spanien ; Polen;Gruppenphase;19. Jun 21;21:00;7,25 Mio.
Italien ; Wales;Gruppenphase;20. Jun 21;18:00;6,93 Mio.
Schweiz ; Türkei;Gruppenphase;20. Jun 21;18:00;4,77 Mio.
Nordmazedonien ; Niederlande;Gruppenphase;21. Jun 21;18:00;4,44 Mio.
Ukraine ; Österreich;Gruppenphase;21. Jun 21;18:00;3,65 Mio.
Russland ; Dänemark;Gruppenphase;21. Jun 21;21:00;4,86 Mio.
Finnland ; Belgien;Gruppenphase;21. Jun 21;21:00;4,15 Mio.
Kroatien ; Schottland;Gruppenphase;22. Jun 21;21:00;4,59 Mio.
Tschechien ; England;Gruppenphase;22. Jun 21;21:00;7,35 Mio.
Slowakei ; Spanien;Gruppenphase;23. Jun 21;18:00;5,67 Mio.
Schweden ; Polen;Gruppenphase;23. Jun 21;18:00;4,72 Mio.
Deutschland ; Ungarn;Gruppenphase;23. Jun 21;21:00;25,74 Mio.
Portugal ; Frankreich;Gruppenphase;23. Jun 21;21:00;9,89 Mio.
Wales ; Dänemark ;Achtelfinale;26. Jun 21;18:00;7,31 Mio.
Italien ; Österreich;Achtelfinale;26. Jun 21;21:00;8,49 Mio.
Niederlande ; Tschechien;Achtelfinale;27. Jun 21;18:00;7,88 Mio.
Belgien ; Portugal;Achtelfinale;27. Jun 21;21:00;9,77 Mio.
Kroatien ; Spanien;Achtelfinale;28. Jun 21;18:00;7,99 Mio.
Frankreich ; Schweiz;Achtelfinale;28. Jun 21;21:00;10,44 Mio.
England ; Deutschland;Achtelfinale;29. Jun 21;18:00;27,36 Mio.
Schweden ; Ukraine;Achtelfinale;29. Jun 21;21:00;7,19 Mio.
Schweiz ; Spanien;Viertelfinale;02. Jul 21;18:00;8,31 Mio.
Belgien ; Italien;Viertelfinale;02. Jul 21;21:00;10,49 Mio.
Tschechien ; Dänemark;Viertelfinale;03. Jul 21;18:00;7,22 Mio.
Ukraine ; England;Viertelfinale;03. Jul 21;21:00;9,11 Mio.
Italien ; Spanien;Halbfinale;06. Jul 21;21:00;11,48 Mio.
England ; Dänemark;Halbfinale;07. Jul 21;21:00;11,95 Mio.
Italien ; England;Finale;11. Jul 21;21:00;21,79 Mio.
