Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
02.07.2021 00:00;02.07.2021 00:15;12.176,00
02.07.2021 00:15;02.07.2021 00:30;12.054,50
02.07.2021 00:30;02.07.2021 00:45;11.979,00
02.07.2021 00:45;02.07.2021 01:00;11.909,50
02.07.2021 01:00;02.07.2021 01:15;11.735,00
02.07.2021 01:15;02.07.2021 01:30;11.656,25
02.07.2021 01:30;02.07.2021 01:45;11.585,50
02.07.2021 01:45;02.07.2021 02:00;11.523,25
02.07.2021 02:00;02.07.2021 02:15;11.485,50
02.07.2021 02:15;02.07.2021 02:30;11.404,25
02.07.2021 02:30;02.07.2021 02:45;11.456,50
02.07.2021 02:45;02.07.2021 03:00;11.460,25
02.07.2021 03:00;02.07.2021 03:15;11.486,75
02.07.2021 03:15;02.07.2021 03:30;11.474,00
02.07.2021 03:30;02.07.2021 03:45;11.498,75
02.07.2021 03:45;02.07.2021 04:00;11.564,00
02.07.2021 04:00;02.07.2021 04:15;11.719,25
02.07.2021 04:15;02.07.2021 04:30;11.725,50
02.07.2021 04:30;02.07.2021 04:45;11.839,50
02.07.2021 04:45;02.07.2021 05:00;11.879,25
02.07.2021 05:00;02.07.2021 05:15;12.003,75
02.07.2021 05:15;02.07.2021 05:30;12.088,50
02.07.2021 05:30;02.07.2021 05:45;12.288,00
02.07.2021 05:45;02.07.2021 06:00;12.578,75
02.07.2021 06:00;02.07.2021 06:15;13.285,75
02.07.2021 06:15;02.07.2021 06:30;13.620,00
02.07.2021 06:30;02.07.2021 06:45;14.096,75
02.07.2021 06:45;02.07.2021 07:00;14.373,25
02.07.2021 07:00;02.07.2021 07:15;14.839,75
02.07.2021 07:15;02.07.2021 07:30;15.086,00
02.07.2021 07:30;02.07.2021 07:45;15.322,00
02.07.2021 07:45;02.07.2021 08:00;15.526,25
02.07.2021 08:00;02.07.2021 08:15;15.753,75
02.07.2021 08:15;02.07.2021 08:30;15.957,25
02.07.2021 08:30;02.07.2021 08:45;16.090,50
02.07.2021 08:45;02.07.2021 09:00;16.183,50
02.07.2021 09:00;02.07.2021 09:15;16.144,50
02.07.2021 09:15;02.07.2021 09:30;16.219,00
02.07.2021 09:30;02.07.2021 09:45;16.352,50
02.07.2021 09:45;02.07.2021 10:00;16.354,50
02.07.2021 10:00;02.07.2021 10:15;16.416,00
02.07.2021 10:15;02.07.2021 10:30;16.499,00
02.07.2021 10:30;02.07.2021 10:45;16.694,50
02.07.2021 10:45;02.07.2021 11:00;16.744,00
02.07.2021 11:00;02.07.2021 11:15;16.759,50
02.07.2021 11:15;02.07.2021 11:30;16.823,25
02.07.2021 11:30;02.07.2021 11:45;16.875,25
02.07.2021 11:45;02.07.2021 12:00;16.855,00
02.07.2021 12:00;02.07.2021 12:15;16.706,00
02.07.2021 12:15;02.07.2021 12:30;16.663,25
02.07.2021 12:30;02.07.2021 12:45;16.606,00
02.07.2021 12:45;02.07.2021 13:00;16.596,75
02.07.2021 13:00;02.07.2021 13:15;16.434,75
02.07.2021 13:15;02.07.2021 13:30;16.272,00
02.07.2021 13:30;02.07.2021 13:45;16.179,50
02.07.2021 13:45;02.07.2021 14:00;16.027,75
02.07.2021 14:00;02.07.2021 14:15;15.986,00
02.07.2021 14:15;02.07.2021 14:30;15.911,50
02.07.2021 14:30;02.07.2021 14:45;15.878,50
02.07.2021 14:45;02.07.2021 15:00;15.779,00
02.07.2021 15:00;02.07.2021 15:15;15.723,25
02.07.2021 15:15;02.07.2021 15:30;15.603,25
02.07.2021 15:30;02.07.2021 15:45;15.577,75
02.07.2021 15:45;02.07.2021 16:00;15.473,75
02.07.2021 16:00;02.07.2021 16:15;15.469,75
02.07.2021 16:15;02.07.2021 16:30;15.415,75
02.07.2021 16:30;02.07.2021 16:45;15.321,50
02.07.2021 16:45;02.07.2021 17:00;15.324,75
02.07.2021 17:00;02.07.2021 17:15;15.403,75
02.07.2021 17:15;02.07.2021 17:30;15.387,50
02.07.2021 17:30;02.07.2021 17:45;15.386,25
02.07.2021 17:45;02.07.2021 18:00;15.331,00
02.07.2021 18:00;02.07.2021 18:15;15.220,75
02.07.2021 18:15;02.07.2021 18:30;15.168,50
02.07.2021 18:30;02.07.2021 18:45;15.095,25
02.07.2021 18:45;02.07.2021 19:00;15.013,50
02.07.2021 19:00;02.07.2021 19:15;14.895,75
02.07.2021 19:15;02.07.2021 19:30;14.687,25
02.07.2021 19:30;02.07.2021 19:45;14.574,75
02.07.2021 19:45;02.07.2021 20:00;14.452,50
02.07.2021 20:00;02.07.2021 20:15;14.267,75
02.07.2021 20:15;02.07.2021 20:30;14.047,00
02.07.2021 20:30;02.07.2021 20:45;13.820,00
02.07.2021 20:45;02.07.2021 21:00;13.751,25
02.07.2021 21:00;02.07.2021 21:15;13.579,50
02.07.2021 21:15;02.07.2021 21:30;13.449,00
02.07.2021 21:30;02.07.2021 21:45;13.283,25
02.07.2021 21:45;02.07.2021 22:00;13.264,50
02.07.2021 22:00;02.07.2021 22:15;13.215,00
02.07.2021 22:15;02.07.2021 22:30;13.148,75
02.07.2021 22:30;02.07.2021 22:45;12.933,75
02.07.2021 22:45;02.07.2021 23:00;12.736,25
02.07.2021 23:00;02.07.2021 23:15;12.390,75
02.07.2021 23:15;02.07.2021 23:30;12.187,00
02.07.2021 23:30;02.07.2021 23:45;12.001,25
02.07.2021 23:45;03.07.2021 00:00;11.864,00
03.07.2021 00:00;03.07.2021 00:15;11.621,00
03.07.2021 00:15;03.07.2021 00:30;11.523,75
03.07.2021 00:30;03.07.2021 00:45;11.364,00
03.07.2021 00:45;03.07.2021 01:00;11.221,00
03.07.2021 01:00;03.07.2021 01:15;11.085,25
03.07.2021 01:15;03.07.2021 01:30;10.956,00
03.07.2021 01:30;03.07.2021 01:45;10.808,75
03.07.2021 01:45;03.07.2021 02:00;10.755,75
03.07.2021 02:00;03.07.2021 02:15;10.644,25
03.07.2021 02:15;03.07.2021 02:30;10.592,75
03.07.2021 02:30;03.07.2021 02:45;10.474,00
03.07.2021 02:45;03.07.2021 03:00;10.446,25
03.07.2021 03:00;03.07.2021 03:15;10.406,75
03.07.2021 03:15;03.07.2021 03:30;10.393,25
03.07.2021 03:30;03.07.2021 03:45;10.407,00
03.07.2021 03:45;03.07.2021 04:00;10.311,25
03.07.2021 04:00;03.07.2021 04:15;10.350,50
03.07.2021 04:15;03.07.2021 04:30;10.323,75
03.07.2021 04:30;03.07.2021 04:45;10.309,75
03.07.2021 04:45;03.07.2021 05:00;10.308,50
03.07.2021 05:00;03.07.2021 05:15;10.340,50
03.07.2021 05:15;03.07.2021 05:30;10.302,50
03.07.2021 05:30;03.07.2021 05:45;10.268,25
03.07.2021 05:45;03.07.2021 06:00;10.376,75
03.07.2021 06:00;03.07.2021 06:15;10.611,50
03.07.2021 06:15;03.07.2021 06:30;10.728,50
03.07.2021 06:30;03.07.2021 06:45;10.810,75
03.07.2021 06:45;03.07.2021 07:00;10.974,00
03.07.2021 07:00;03.07.2021 07:15;11.302,75
03.07.2021 07:15;03.07.2021 07:30;11.461,25
03.07.2021 07:30;03.07.2021 07:45;11.657,25
03.07.2021 07:45;03.07.2021 08:00;11.939,00
03.07.2021 08:00;03.07.2021 08:15;12.199,75
03.07.2021 08:15;03.07.2021 08:30;12.439,25
03.07.2021 08:30;03.07.2021 08:45;12.638,25
03.07.2021 08:45;03.07.2021 09:00;12.881,00
03.07.2021 09:00;03.07.2021 09:15;13.066,00
