Land 1;Land 2;Runde;Datum;Uhrzeit (MESZ)
Deutschland;Schottland;Gruppenphase;14.06.2024;21:00
Ungarn;Schweiz;Gruppenphase;15.06.2024;15:00
Spanien;Kroatien;Gruppenphase;15.06.2024;18:00
Italien;Albanien;Gruppenphase;15.06.2024;21:00
Polen;Niederlande;Gruppenphase;16.06.2024;15:00
Slowenien;Dänemark;Gruppenphase;16.06.2024;18:00
Serbien;England;Gruppenphase;16.06.2024;21:00
Rumänien;Ukraine;Gruppenphase;17.06.2024;15:00
Belgien;Slowakei;Gruppenphase;17.06.2024;18:00
Österreich;Frankreich;Gruppenphase;17.06.2024;21:00
Türkei;Georgien;Gruppenphase;18.06.2024;18:00
Portugal;Tschechien;Gruppenphase;18.06.2024;21:00
Kroatien;Albanien;Gruppenphase;19.06.2024;15:00
Deutschland;Ungarn;Gruppenphase;19.06.2024;18:00
Schottland;Schweiz;Gruppenphase;19.06.2024;21:00
Slowenien;Serbien;Gruppenphase;20.06.2024;15:00
Dänemark;England;Gruppenphase;20.06.2024;18:00
Spanien;Italien;Gruppenphase;20.06.2024;21:00
Slowakei;Ukraine;Gruppenphase;21.06.2024;15:00
Polen;Österreich;Gruppenphase;21.06.2024;18:00
Niederlande;Frankreich;Gruppenphase;21.06.2024;21:00
Georgien;Tschechien;Gruppenphase;22.06.2024;15:00
Türkei;Portugal;Gruppenphase;22.06.2024;18:00
Belgien;Rumänien;Gruppenphase;22.06.2024;21:00
Schweiz;Deutschland;Gruppenphase;23.06.2024;21:00
Schottland;Ungarn;Gruppenphase;23.06.2024;21:00
Albanien;Spanien;Gruppenphase;24.06.2024;21:00
Kroatien;Italien;Gruppenphase;24.06.2024;21:00
Frankreich;Polen;Gruppenphase;25.06.2024;18:00
Niederlande;Österreich;Gruppenphase;25.06.2024;18:00
Dänemark;Serbien;Gruppenphase;25.06.2024;21:00
England;Slowenien;Gruppenphase;25.06.2024;21:00
Slowakei;Rumänien;Gruppenphase;26.06.2024;18:00
Ukraine;Belgien;Gruppenphase;26.06.2024;18:00
Georgien;Portugal;Gruppenphase;26.06.2024;21:00
Tschechien;Türkei;Gruppenphase;26.06.2024;21:00
Schweiz;Italien;Achtelfinale;29.06.2024;18:00
Deutschland;Dänemark;Achtelfinale;29.06.2024;21:00
England;Slowakei;Achtelfinale;30.06.2024;18:00
Spanien;Georgien;Achtelfinale;30.06.2024;21:00
Frankreich;Belgien;Achtelfinale;01.07.2024;18:00
Portugal;Slowenien;Achtelfinale;01.07.2024;21:00
Rumänien;Niederlande;Achtelfinale;02.07.2024;18:00
Österreich;Türkei;Achtelfinale;02.07.2024;21:00
Spanien;Deutschland;Viertelfinale;05.07.2024;18:00
Portugal;Frankreich;Viertelfinale;05.07.2024;21:00
England;Schweiz;Viertelfinale;06.07.2024;18:00
Niederlande;Türkei;Viertelfinale;06.07.2024;21:00
Spanien;Frankreich;Halbfinale;09.07.2024;21:00
Niederlande;England;Halbfinale;10.07.2024;21:00
Spanien;England;Finale;14.07.2024;21:00
