Land1;Land2;Runde;Datum;Uhrzeit (MESZ)
Russland;Saudi-Arabien;Gruppenphase;14. Jun 18;17:00
Ägypten;Uruguay;Gruppenphase;15. Jun 18;14:00
Marokko;Iran;Gruppenphase;15. Jun 18;17:00
Portugal;Spanien;Gruppenphase;15. Jun 18;20:00
Frankreich;Australien;Gruppenphase;16. Jun 18;12:00
Argentinien;Island;Gruppenphase;16. Jun 18;15:00
Peru;Dänemark;Gruppenphase;16. Jun 18;18:00
Kroatien;Nigeria;Gruppenphase;16. Jun 18;21:00
Costa Rica;Serbien;Gruppenphase;17. Jun 18;14:00
Deutschland;Mexiko;Gruppenphase;17. Jun 18;17:00
Brasilien;Schweiz;Gruppenphase;17. Jun 18;20:00
Schweden;Südkorea;Gruppenphase;18. Jun 18;14:00
Belgien;Panama;Gruppenphase;18. Jun 18;17:00
Tunesien;England;Gruppenphase;18. Jun 18;20:00
Kolumbien;Japan;Gruppenphase;19. Jun 18;14:00
Polen;Senegal;Gruppenphase;19. Jun 18;17:00
Russland;Ägypten;Gruppenphase;19. Jun 18;20:00
Portugal;Marokko;Gruppenphase;20. Jun 18;14:00
Uruguay;Saudi-Arabien;Gruppenphase;20. Jun 18;17:00
Iran;Spanien;Gruppenphase;20. Jun 18;20:00
Dänemark;Australien;Gruppenphase;21. Jun 18;14:00
Frankreich;Peru;Gruppenphase;21. Jun 18;17:00
Argentinien;Kroatien;Gruppenphase;21. Jun 18;20:00
Brasilien;Costa Rica;Gruppenphase;22. Jun 18;14:00
Nigeria;Island;Gruppenphase;22. Jun 18;17:00
Serbien;Schweiz;Gruppenphase;22. Jun 18;20:00
Belgien;Tunesien;Gruppenphase;23. Jun 18;14:00
Südkorea;Mexiko;Gruppenphase;23. Jun 18;17:00
Deutschland;Schweden;Gruppenphase;23. Jun 18;20:00
England;Panama;Gruppenphase;24. Jun 18;14:00
Japan;Senegal;Gruppenphase;24. Jun 18;17:00
Polen;Kolumbien;Gruppenphase;24. Jun 18;20:00
Uruguay;Russland;Gruppenphase;25. Jun 18;16:00
Saudi-Arabien;Ägypten;Gruppenphase;25. Jun 18;16:00
Iran;Portugal;Gruppenphase;25. Jun 18;20:00
Spanien;Marokko;Gruppenphase;25. Jun 18;20:00
Australien;Peru;Gruppenphase;26. Jun 18;16:00
Dänemark;Frankreich;Gruppenphase;26. Jun 18;16:00
Nigeria;Argentinien;Gruppenphase;26. Jun 18;20:00
Island;Kroatien;Gruppenphase;26. Jun 18;20:00
Mexiko;Schweden;Gruppenphase;27. Jun 18;16:00
Südkorea;Deutschland;Gruppenphase;27. Jun 18;16:00
Serbien;Brasilien;Gruppenphase;27. Jun 18;20:00
Schweiz;Costa Rica;Gruppenphase;27. Jun 18;20:00
Japan;Polen;Gruppenphase;28. Jun 18;16:00
Senegal;Kolumbien;Gruppenphase;28. Jun 18;16:00
England;Belgien;Gruppenphase;28. Jun 18;20:00
Panama;Tunesien;Gruppenphase;28. Jun 18;20:00
Frankreich;Argentinien;Achtelfinale;30. Jun 18;16:00
Uruguay;Portugal;Achtelfinale;30. Jun 18;20:00
Spanien;Russland;Achtelfinale;01. Jul 18;16:00
Kroatien;Dänemark;Achtelfinale;01. Jul 18;20:00
Brasilien;Mexiko;Achtelfinale;02. Jul 18;16:00
Belgien;Japan;Achtelfinale;02. Jul 18;20:00
Schweden;Schweiz;Achtelfinale;03. Jul 18;16:00
Kolumbien;England;Achtelfinale;03. Jul 18;20:00
Uruguay;Frankreich;Viertelfinale;06. Jul 18;16:00
Brasilien;Belgien;Viertelfinale;06. Jul 18;20:00
Schweden;England;Viertelfinale;07. Jul 18;16:00
Russland;Kroatien;Viertelfinale;07. Jul 18;20:00
Frankreich;Belgien;Halbfinale;10. Jul 18;20:00
Kroatien;England;Halbfinale;11. Jul 18;20:00
Belgien;England;Spiel um Platz 3;14. Jul 18;16:00
Frankreich;Kroatien;Finale;15. Jul 18;17:00
