Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen
08.07.2018 00:00;08.07.2018 00:15;10.767,75
08.07.2018 00:15;08.07.2018 00:30;10.555,75
08.07.2018 00:30;08.07.2018 00:45;10.458,50
08.07.2018 00:45;08.07.2018 01:00;10.330,50
08.07.2018 01:00;08.07.2018 01:15;10.182,50
08.07.2018 01:15;08.07.2018 01:30;10.066,00
08.07.2018 01:30;08.07.2018 01:45;9.958,75
08.07.2018 01:45;08.07.2018 02:00;9.851,25
08.07.2018 02:00;08.07.2018 02:15;9.764,25
08.07.2018 02:15;08.07.2018 02:30;9.685,50
08.07.2018 02:30;08.07.2018 02:45;9.645,50
08.07.2018 02:45;08.07.2018 03:00;9.541,00
08.07.2018 03:00;08.07.2018 03:15;9.455,00
08.07.2018 03:15;08.07.2018 03:30;9.488,00
08.07.2018 03:30;08.07.2018 03:45;9.427,75
08.07.2018 03:45;08.07.2018 04:00;9.418,50
08.07.2018 04:00;08.07.2018 04:15;9.383,25
08.07.2018 04:15;08.07.2018 04:30;9.383,50
08.07.2018 04:30;08.07.2018 04:45;9.397,75
08.07.2018 04:45;08.07.2018 05:00;9.372,75
08.07.2018 05:00;08.07.2018 05:15;9.351,00
08.07.2018 05:15;08.07.2018 05:30;9.234,50
08.07.2018 05:30;08.07.2018 05:45;9.245,00
08.07.2018 05:45;08.07.2018 06:00;9.263,50
08.07.2018 06:00;08.07.2018 06:15;9.354,25
08.07.2018 06:15;08.07.2018 06:30;9.411,00
08.07.2018 06:30;08.07.2018 06:45;9.494,50
08.07.2018 06:45;08.07.2018 07:00;9.648,75
08.07.2018 07:00;08.07.2018 07:15;9.857,25
08.07.2018 07:15;08.07.2018 07:30;9.990,00
08.07.2018 07:30;08.07.2018 07:45;10.233,75
08.07.2018 07:45;08.07.2018 08:00;10.509,25
08.07.2018 08:00;08.07.2018 08:15;10.779,50
08.07.2018 08:15;08.07.2018 08:30;10.945,00
